会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
间接人工损益(20%),a027,制造费用-薪资支出-间接一般-加班费,45010105,-1,,,,57010903,研究发展费用-水电瓦斯费-瓦斯费
间接人工损益(20%),a027,制造费用-薪资支出-间接一般-奖金,45010106,-1,,,,570110,研究发展费用-保险费
标准稼动-制一收入(30%),a028,标准稼动-制造收入,89990102,0.3,,,,570111,研究发展费用-交际费
标准稼动-制二收入(70%),a029,标准稼动-制造收入,89990102,0.7,,,,570112,研究发展费用-捐赠
实际扫描-制造收入,a030,制造费用-标准-变动制造费用,45000103,1,,,,570113,研究发展费用-税捐
实际扫描-制造收入,a030,制造费用-WIP-变动制造费用,45000203,1,,,,570114,研究发展费用-呆帐损失
实际扫描-制一收入(30%),a031,制造费用-标准-变动制造费用,45000103,0.3,,,,570115,研究发展费用-折旧
实际扫描-制一收入(30%),a031,制造费用-WIP-变动制造费用,45000203,0.3,,,,570116,研究发展费用-各项摊提
实际扫描-制二收入(70%),a032,制造费用-标准-变动制造费用,45000103,0.7,,,,57011601,研究发展费用-各项摊提-长期待摊费用
实际扫描-制二收入(70%),a032,制造费用-WIP-变动制造费用,45000203,0.7,,,,57011602,研究发展费用-各项摊提-无形资产摊销
掃瞄-制造架動率,a033_fenzi,制造费用-标准-直接人工,45000102,1,,,,57011603,研究发展费用-各项摊提-低值易耗品摊销
掃瞄-制造架動率,a033_fenzi,制造费用-WIP-直接人工,45000202,1,,,,570118,研究发展费用-职工褔利
掃瞄-制造架動率,a033_fenmu,标准稼动-制造收入,89990102,1,,,,570119,研究发展费用-委托研究费
制一费用,a034,制造费用-文具用品,450103,1,,,,57011901,研究发展费用-委托研究费-样品领用\测试费
制一费用,a034,制造费用-旅费,450104,1,,,,57011902,研究发展费用-委托研究费-试模费
制一费用,a034,制造费用-运费,450105,1,,,,570121,研究发展费用-训练费
制一费用,a034,制造费用-邮电费,450106,1,,,,570122,研究发展费用-进出口费用
制一费用,a034,制造费用-修缮费,450107,1,,,,57012201,研究发展费用-进出口费用-出口运费
制一费用,a034,制造费用-广告费,450108,1,,,,57012202,研究发展费用-进出口费用-出口报关费
制一费用,a034,制造费用-保险费,450110,1,,,,570123,研究发展费用-保全费
制一费用,a034,制造费用-交际费,450111,1,,,,570124,研究发展费用-劳务费
制一费用,a034,制造费用-捐赠,450112,1,,,,570125,研究发展费用-物料费
制一费用,a034,制造费用-税捐,450113,1,,,,57012501,研究发展费用-物料费-包装费
制一费用,a034,制造费用-呆帐损失,450114,1,,,,57012509,研究发展费用-物料费-其它物料费
制一费用,a034,制造费用-伙食费,450117,1,,,,570126,研究发展费用-燃料费
制一费用,a034,制造费用-职工褔利,450118,1,,,,57012601,研究发展费用-燃料费-汽油
制一费用,a034,制造费用-委托研究费,450119,1,,,,57012602,研究发展费用-燃料费-柴油
制一费用,a034,制造费用-佣金支出,450120,1,,,,570127,研究发展费用-网络服务费用
制一费用,a034,制造费用-训练费,450121,1,,,,570128,研究发展费用-劳动保护费
制一费用,a034,制造费用-进出口费用,450122,1,,,,570129,研究发展费用-试模费
制一费用,a034,制造费用-保全费,450123,1,,,,570130,研究发展费用-开模费
制一费用,a034,制造费用-劳务费,450124,1,,,,570131,研究发展费用-董事会费
制一费用,a034,制造费用-物料费,450125,1,,,,570132,研究发展费用-工会经费
制一费用,a034,制造费用-燃料费,450126,1,,,,570133,研究发展费用-展览费
制一费用,a034,制造费用-网络服务费用,450127,1,,,,570134,研究发展费用-汽车费用
制一费用,a034,制造费用-劳动保护费,450128,1,,,,570188,研究发展费用-其它费用
制一费用,a034,制造费用-董事会费,450131,1,,,,570199,研究发展费用-异状费
制一费用,a034,制造费用-工会经费,450132,1,,,,57019901,研究发展费用-异状费-产成品成本差异
制一费用,a034,制造费用-展览费,450133,1,,,,57019911,研究发展费用-异状费-产成品报废损失
制一费用,a034,制造费用-汽车费用,450134,1,,,,57019912,研究发展费用-异状费-半成品报废损失
制一费用,a034,制造费用-其它费用,450188,1,,,,57019913,研究发展费用-异状费-半制品报废损失
制一损益,a035,制造费用-标准-变动制造费用,45000103,0.3,,,,57019914,研究发展费用-异状费-原材料报废损失
制一损益,a035,制造费用-WIP-变动制造费用,45000203,0.3,,,,57019915,研究发展费用-异状费-委托加工报废损
制一损益,a035,制造费用-文具用品,450103,-1,,,,57019916,研究发展费用-异状费-产成品盘点盈亏
制一损益,a035,制造费用-旅费,450104,-1,,,,a011,研究发展损益
制一损益,a035,制造费用-运费,450105,-1,,,,5801,财务费用
制一损益,a035,制造费用-邮电费,450106,-1,,,,580101,财务费用-利息收入
制一损益,a035,制造费用-修缮费,450107,-1,,,,580102,财务费用-利息支出
制一损益,a035,制造费用-广告费,450108,-1,,,,580103,财务费用-兑换收益
制一损益,a035,制造费用-保险费,450110,-1,,,,580104,财务费用-兑换损失
制一损益,a035,制造费用-交际费,450111,-1,,,,580105,财务费用-银行手续费
制一损益,a035,制造费用-捐赠,450112,-1,,,,a012,营业损益
制一损益,a035,制造费用-税捐,450113,-1,,,,a013,营业损益率
制一损益,a035,制造费用-呆帐损失,450114,-1,,,,7101,营业外收入
制一损益,a035,制造费用-伙食费,450117,-1,,,,710101,营业外收入-处分固定资产收益
制一损益,a035,制造费用-职工褔利,450118,-1,,,,710102,营业外收入-处分投资利益
制一损益,a035,制造费用-委托研究费,450119,-1,,,,710103,营业外收入-存货盘盈
制一损益,a035,制造费用-佣金支出,450120,-1,,,,710104,营业外收入-管理费收入
制一损益,a035,制造费用-训练费,450121,-1,,,,710105,营业外收入-出售下脚及废料收入
制一损益,a035,制造费用-进出口费用,450122,-1,,,,710106,营业外收入-处分列管资产收益
制一损益,a035,制造费用-保全费,450123,-1,,,,710109,营业外收入-其它营业外收入
制一损益,a035,制造费用-劳务费,450124,-1,,,,7201,营业外支出
制一损益,a035,制造费用-物料费,450125,-1,,,,720101,营业外支出-处分固定资产损失
制一损益,a035,制造费用-燃料费,450126,-1,,,,720102,营业外支出-处分投资损失
制一损益,a035,制造费用-网络服务费用,450127,-1,,,,720103,营业外支出-存货盘损
制一损益,a035,制造费用-劳动保护费,450128,-1,,,,720104,营业外支出-赔偿损失
制一损益,a035,制造费用-董事会费,450131,-1,,,,720105,营业外支出-滞纳金\罚款损失
制一损益,a035,制造费用-工会经费,450132,-1,,,,720106,营业外支出-捐赠
制一损益,a035,制造费用-展览费,450133,-1,,,,720107,营业外支出-非常损失
制一损益,a035,制造费用-汽车费用,450134,-1,,,,720108,营业外支出-处分存货损失
制一损益,a035,制造费用-其它费用,450188,-1,,,,720109,营业外支出-赞助支出
制二费用,a036,制造费用-租金支出,450102,1,,,,720110,营业外支出-水利建设专项基金
制二费用,a036,制造费用-水电瓦斯费,450109,1,,,,720111,营业外支出-残疾人保障金
制二费用,a036,制造费用-折旧,450115,1,,,,720198,营业外支出-容错
制二费用,a036,制造费用-各项摊提,450116,1,,,,720199,营业外支出-其它营业外支出
制二费用,a036,制造费用-开模费,450130,1,,,,7301,投资损益
制二费用,a036,制造费用-异状费,450199,1,,,,7901,以前年度损益调整
制二损益,a037,制造费用-标准-变动制造费用,45000103,0.7,,,,790101,以前年度损益调整
制二损益,a037,制造费用-WIP-变动制造费用,45000203,0.7,,,,a014,税前损益
制二损益,a037,制造费用-租金支出,450102,-1,,,,a015,税前损益率
制二损益,a037,制造费用-水电瓦斯费,450109,-1,,,,8101,所得税费用
制二损益,a037,制造费用-折旧,450115,-1,,,,810101,所得税费用
制二损益,a037,制造费用-各项摊提,450116,-1,,,,a016,税后损益
制二损益,a037,制造费用-开模费,450130,-1,,,,a017,税后损益率
制二损益,a037,制造费用-异状费,450199,-1,,,,89990101,标准稼动-人工收入
制总费用,a038,制造费用-文具用品,450103,1,,,,a018,标准稼动-直接人工收入(80%)
制总费用,a038,制造费用-旅费,450104,1,,,,8999010101,标准稼动-间接人工收入
制总费用,a038,制造费用-运费,450105,1,,,,45000102,制造费用-标准-直接人工
制总费用,a038,制造费用-邮电费,450106,1,,,,45000202,制造费用-WIP-直接人工
制总费用,a038,制造费用-修缮费,450107,1,,,,a019,实际扫描-人工收入
制总费用,a038,制造费用-广告费,450108,1,,,,a020,实际扫描-直接人工收入(80%)
制总费用,a038,制造费用-保险费,450110,1,,,,8999011101,实际扫描-间接人工收入
制总费用,a038,制造费用-交际费,450111,1,,,,a021,扫描-人工稼动率
制总费用,a038,制造费用-捐赠,450112,1,,,,450101,制造费用-薪资支出
制总费用,a038,制造费用-税捐,450113,1,,,,a022,制造费用-薪资支出-直接人工
制总费用,a038,制造费用-呆帐损失,450114,1,,,,45010111,制造费用-薪资支出-直接技师-基本薪资
制总费用,a038,制造费用-伙食费,450117,1,,,,45010112,制造费用-薪资支出-直接技师-加班费
制总费用,a038,制造费用-职工褔利,450118,1,,,,45010113,制造费用-薪资支出-直接技师-奖金
制总费用,a038,制造费用-委托研究费,450119,1,,,,45010114,制造费用-薪资支出-直接作业员-基本薪资
制总费用,a038,制造费用-佣金支出,450120,1,,,,45010115,制造费用-薪资支出-直接作业员-加班费
制总费用,a038,制造费用-训练费,450121,1,,,,45010116,制造费用-薪资支出-直接作业员-奖金
制总费用,a038,制造费用-进出口费用,450122,1,,,,45010117,制造费用-薪资支出-直接作业员-劳务派遣
制总费用,a038,制造费用-保全费,450123,1,,,,a023,制造费用-薪资支出-间接人工
制总费用,a038,制造费用-劳务费,450124,1,,,,45010101,制造费用-薪资支出-间接专业-基本薪资
制总费用,a038,制造费用-物料费,450125,1,,,,45010102,制造费用-薪资支出-间接专业-加班费
制总费用,a038,制造费用-燃料费,450126,1,,,,45010103,制造费用-薪资支出-间接专业-奖金
制总费用,a038,制造费用-网络服务费用,450127,1,,,,45010104,制造费用-薪资支出-间接一般-基本薪资
制总费用,a038,制造费用-劳动保护费,450128,1,,,,45010105,制造费用-薪资支出-间接一般-加班费
制总费用,a038,制造费用-董事会费,450131,1,,,,45010106,制造费用-薪资支出-间接一般-奖金
制总费用,a038,制造费用-工会经费,450132,1,,,,a024,人工损益
制总费用,a038,制造费用-展览费,450133,1,,,,a025,直接人工-差数
制总费用,a038,制造费用-汽车费用,450134,1,,,,45000301,制造费用-直接人工差异-结转
制总费用,a038,制造费用-其它费用,450188,1,,,,a026,直接人工损益(80%)
制总费用,a038,制造费用-租金支出,450102,1,,,,a027,间接人工损益(20%)
制总费用,a038,制造费用-水电瓦斯费,450109,1,,,,89990102,标准稼动-制造收入
制总费用,a038,制造费用-折旧,450115,1,,,,a028,标准稼动-制一收入(30%)
制总费用,a038,制造费用-各项摊提,450116,1,,,,a029,标准稼动-制二收入(70%)
制总费用,a038,制造费用-开模费,450130,1,,,,45000103,制造费用-标准-变动制造费用
制总费用,a038,制造费用-异状费,450199,1,,,,45000203,制造费用-WIP-变动制造费用
制总损益,a039,制造费用-标准-变动制造费用,45000103,1,,,,a030,实际扫描-制造收入
制总损益,a039,制造费用-WIP-变动制造费用,45000203,1,,,,a031,实际扫描-制一收入(30%)
制总损益,a039,制造费用-文具用品,450103,-1,,,,a032,实际扫描-制二收入(70%)
制总损益,a039,制造费用-旅费,450104,-1,,,,a033,掃瞄-制造架動率
制总损益,a039,制造费用-运费,450105,-1,,,,4501,制造费用
制总损益,a039,制造费用-邮电费,450106,-1,,,,a034,制一费用
制总损益,a039,制造费用-修缮费,450107,-1,,,,450103,制造费用-文具用品
制总损益,a039,制造费用-广告费,450108,-1,,,,450104,制造费用-旅费
制总损益,a039,制造费用-保险费,450110,-1,,,,450105,制造费用-运费
制总损益,a039,制造费用-交际费,450111,-1,,,,450106,制造费用-邮电费
制总损益,a039,制造费用-捐赠,450112,-1,,,,450107,制造费用-修缮费
制总损益,a039,制造费用-税捐,450113,-1,,,,45010701,制造费用-修缮费-其它修理费
制总损益,a039,制造费用-呆帐损失,450114,-1,,,,45010702,制造费用-修缮费-模具内部维修结转
制总损益,a039,制造费用-伙食费,450117,-1,,,,450108,制造费用-广告费
制总损益,a039,制造费用-职工褔利,450118,-1,,,,450110,制造费用-保险费
制总损益,a039,制造费用-委托研究费,450119,-1,,,,450111,制造费用-交际费
制总损益,a039,制造费用-佣金支出,450120,-1,,,,450112,制造费用-捐赠
制总损益,a039,制造费用-训练费,450121,-1,,,,450113,制造费用-税捐
制总损益,a039,制造费用-进出口费用,450122,-1,,,,450114,制造费用-呆帐损失
制总损益,a039,制造费用-保全费,450123,-1,,,,450117,制造费用-伙食费
制总损益,a039,制造费用-劳务费,450124,-1,,,,450118,制造费用-职工褔利
制总损益,a039,制造费用-物料费,450125,-1,,,,450119,制造费用-委托研究费
制总损益,a039,制造费用-燃料费,450126,-1,,,,45011901,制造费用-委托研究费-样品领用\测试费
制总损益,a039,制造费用-网络服务费用,450127,-1,,,,45011902,制造费用-委托研究费-试模费
制总损益,a039,制造费用-劳动保护费,450128,-1,,,,450120,制造费用-佣金支出
制总损益,a039,制造费用-董事会费,450131,-1,,,,450121,制造费用-训练费
制总损益,a039,制造费用-工会经费,450132,-1,,,,450122,制造费用-进出口费用
制总损益,a039,制造费用-展览费,450133,-1,,,,450123,制造费用-保全费
制总损益,a039,制造费用-汽车费用,450134,-1,,,,450124,制造费用-劳务费
制总损益,a039,制造费用-其它费用,450188,-1,,,,450125,制造费用-物料费
制总损益,a039,制造费用-租金支出,450102,-1,,,,45012501,制造费用-物料费-包装费
制总损益,a039,制造费用-水电瓦斯费,450109,-1,,,,45012509,制造费用-物料费-其它物料费
制总损益,a039,制造费用-折旧,450115,-1,,,,450126,制造费用-燃料费
制总损益,a039,制造费用-各项摊提,450116,-1,,,,45012601,制造费用-燃料费-汽油
制总损益,a039,制造费用-开模费,450130,-1,,,,45012602,制造费用-燃料费-柴油
制总损益,a039,制造费用-异状费,450199,-1,,,,450127,制造费用-网络服务费用
变动制造费用-差数,a040,制造费用-变动制造费用差异-结转,45000302,1,,,,450128,制造费用-劳动保护费
变动制造费用-差数,a040,制造费用-文具用品,450103,1,,,,450131,制造费用-董事会费
变动制造费用-差数,a040,制造费用-旅费,450104,1,,,,450132,制造费用-工会经费
变动制造费用-差数,a040,制造费用-运费,450105,1,,,,450133,制造费用-展览费
变动制造费用-差数,a040,制造费用-邮电费,450106,1,,,,450134,制造费用-汽车费用
变动制造费用-差数,a040,制造费用-修缮费,450107,1,,,,450188,制造费用-其它费用
变动制造费用-差数,a040,制造费用-广告费,450108,1,,,,a035,制一损益
变动制造费用-差数,a040,制造费用-保险费,450110,1,,,,a036,制二费用
变动制造费用-差数,a040,制造费用-交际费,450111,1,,,,450102,制造费用-租金支出
变动制造费用-差数,a040,制造费用-捐赠,450112,1,,,,450109,制造费用-水电瓦斯费
变动制造费用-差数,a040,制造费用-税捐,450113,1,,,,45010901,制造费用-水电瓦斯费-水费
变动制造费用-差数,a040,制造费用-呆帐损失,450114,1,,,,45010902,制造费用-水电瓦斯费-电费
变动制造费用-差数,a040,制造费用-伙食费,450117,1,,,,45010903,制造费用-水电瓦斯费-瓦斯费
变动制造费用-差数,a040,制造费用-职工褔利,450118,1,,,,450115,制造费用-折旧
变动制造费用-差数,a040,制造费用-委托研究费,450119,1,,,,450116,制造费用-各项摊提
变动制造费用-差数,a040,制造费用-佣金支出,450120,1,,,,45011601,制造费用-各项摊提-长期待摊费用摊销
变动制造费用-差数,a040,制造费用-训练费,450121,1,,,,45011602,制造费用-各项摊提-无形资产摊销
变动制造费用-差数,a040,制造费用-进出口费用,450122,1,,,,45011603,制造费用-各项摊提-低值易耗品摊销
变动制造费用-差数,a040,制造费用-保全费,450123,1,,,,450130,制造费用-开模费
变动制造费用-差数,a040,制造费用-劳务费,450124,1,,,,450199,制造费用-异状费
变动制造费用-差数,a040,制造费用-物料费,450125,1,,,,45019901,制造费用-异状费-产成品盘点损益
变动制造费用-差数,a040,制造费用-燃料费,450126,1,,,,45019902,制造费用-异状费-半成品盘点损益
变动制造费用-差数,a040,制造费用-网络服务费用,450127,1,,,,45019903,制造费用-异状费-半制品盘点损益
变动制造费用-差数,a040,制造费用-劳动保护费,450128,1,,,,45019904,制造费用-异状费-原材料盘点损益
变动制造费用-差数,a040,制造费用-董事会费,450131,1,,,,45019905,制造费用-异状费-委托加工盘点损益
变动制造费用-差数,a040,制造费用-工会经费,450132,1,,,,45019911,制造费用-异状费-产成品报废损失
变动制造费用-差数,a040,制造费用-展览费,450133,1,,,,45019912,制造费用-异状费-半成品报废损失
变动制造费用-差数,a040,制造费用-汽车费用,450134,1,,,,45019913,制造费用-异状费-半制品报废损失
变动制造费用-差数,a040,制造费用-其它费用,450188,1,,,,45019914,制造费用-异状费-原材料报废损失
变动制造费用-差数,a040,制造费用-租金支出,450102,1,,,,45019915,制造费用-异状费-委托加工报废损失
变动制造费用-差数,a040,制造费用-水电瓦斯费,450109,1,,,,45019921,制造费用-异状费-原材料抽粒损失
变动制造费用-差数,a040,制造费用-折旧,450115,1,,,,45019922,制造费用-异状费-原料转次料损失
变动制造费用-差数,a040,制造费用-各项摊提,450116,1,,,,45019923,制造费用-异状费-用料标实差异
变动制造费用-差数,a040,制造费用-开模费,450130,1,,,,45019924,制造费用-异状费-替代品出货成本差异
变动制造费用-差数,a040,制造费用-异状费,450199,1,,,,45019925,制造费用-异状费-色粉色母耗用损失
变动制造费用-差数,a040,制造费用-标准-变动制造费用,45000103,-1,,,,45019926,制造费用-异状费-原料裁片损失
变动制造费用-差数,a040,制造费用-WIP-变动制造费用,45000203,-1,,,,45019927,制造费用-异状费-废料差异损失
外加工损益,a041,制造费用-标准-外加工费,45000105,1,,,,a037,制二损益
外加工损益,a041,制造费用-WIP-外加工费,45000205,1,,,,a038,制总费用
外加工费-差数,a042,制造费用-外加工费-结转,45000304,1,,,,a039,制总损益
外加工费-差数,a042,制造费用-标准-外加工费,45000105,-1,,,,a040,变动制造费用-差数
外加工费-差数,a042,制造费用-WIP-外加工费,45000205,-1,,,,45000302,制造费用-变动制造费用差异-结转
总单位损益,a043,制造费用-直接人工差异-结转,45000301,1,,,,45000105,制造费用-标准-外加工费
总单位损益,a043,制造费用-变动制造费用差异-结转,45000302,1,,,,45000205,制造费用-WIP-外加工费
总单位损益,a043,制造费用-外加工费-结转,45000304,1,,,,a041,外加工损益
实际单位损益,a044,制造费用-标准-直接人工,45000102,1,,,,a042,外加工费-差数
实际单位损益,a044,制造费用-WIP-直接人工,45000202,1,,,,45000304,制造费用-外加工费-结转
实际单位损益,a044,制造费用-标准-变动制造费用,45000103,1,,,,a043,总单位损益
实际单位损益,a044,制造费用-WIP-变动制造费用,45000203,1,,,,a044,实际单位损益
实际单位损益,a044,制造费用-标准-外加工费,45000105,1,,,,a001,销货收入净额
实际单位损益,a044,制造费用-WIP-外加工费,45000205,1,,,,5101,销货收入
实际单位损益,a044,实际扫描-间接人工收入,8999011101,1,,,,510101,销货收入-外销
实际单位损益,a044,制造费用-薪资支出,450101,-1,,,,510102,销货收入-内销
实际单位损益,a044,制造费用-文具用品,450103,-1,,,,510103,销货收入-其它
实际单位损益,a044,制造费用-旅费,450104,-1,,,,51010301,销货收入-力投
实际单位损益,a044,制造费用-运费,450105,-1,,,,51010302,销货收入-Hofax
实际单位损益,a044,制造费用-邮电费,450106,-1,,,,51010303,销货收入-力顿
实际单位损益,a044,制造费用-修缮费,450107,-1,,,,51010304,销货收入-国联
实际单位损益,a044,制造费用-广告费,450108,-1,,,,51010305,销货收入-越南
实际单位损益,a044,制造费用-保险费,450110,-1,,,,510109,销货收入-调整
实际单位损益,a044,制造费用-交际费,450111,-1,,,,5111,销货退回
实际单位损益,a044,制造费用-捐赠,450112,-1,,,,511102,销货退回-内销
实际单位损益,a044,制造费用-税捐,450113,-1,,,,511103,销货退回-其它
实际单位损益,a044,制造费用-呆帐损失,450114,-1,,,,511101,销货退回-外销
实际单位损益,a044,制造费用-伙食费,450117,-1,,,,51110301,销货退回-力投
实际单位损益,a044,制造费用-职工褔利,450118,-1,,,,51110302,销货退回-Hofax
实际单位损益,a044,制造费用-委托研究费,450119,-1,,,,51110303,销货退回-力顿
实际单位损益,a044,制造费用-佣金支出,450120,-1,,,,51110304,销货退回-国联
实际单位损益,a044,制造费用-训练费,450121,-1,,,,51110305,销货退回-越南
实际单位损益,a044,制造费用-进出口费用,450122,-1,,,,5121,销货折让
实际单位损益,a044,制造费用-保全费,450123,-1,,,,512101,销货折让-订单固定折让
实际单位损益,a044,制造费用-劳务费,450124,-1,,,,512102,销货折让-单价尾数差额
实际单位损益,a044,制造费用-物料费,450125,-1,,,,512103,销货折让-销售异状折让
实际单位损益,a044,制造费用-燃料费,450126,-1,,,,a002,销货成本净额
实际单位损益,a044,制造费用-网络服务费用,450127,-1,,,,4101,销货成本
实际单位损益,a044,制造费用-劳动保护费,450128,-1,,,,410101,销货成本-外销
实际单位损益,a044,制造费用-董事会费,450131,-1,,,,410102,销货成本-内销
实际单位损益,a044,制造费用-工会经费,450132,-1,,,,410103,销货成本-其它
实际单位损益,a044,制造费用-展览费,450133,-1,,,,41010301,销货成本-力投
实际单位损益,a044,制造费用-汽车费用,450134,-1,,,,41010302,销货成本-Hofax
实际单位损益,a044,制造费用-其它费用,450188,-1,,,,41010303,销货成本-力顿
实际单位损益,a044,制造费用-租金支出,450102,-1,,,,41010304,销货成本-国联
实际单位损益,a044,制造费用-水电瓦斯费,450109,-1,,,,41010305,销货成本-越南
实际单位损益,a044,制造费用-折旧,450115,-1,,,,410109,销货成本-调整
实际单位损益,a044,制造费用-各项摊提,450116,-1,,,,4111,销货成本退回
实际单位损益,a044,制造费用-开模费,450130,-1,,,,411101,销货成本退回-外销
实际单位损益,a044,制造费用-异状费,450199,-1,,,,411102,销货成本退回-内销
,,,,,,,,411103,销货成本退回-其它
,,,,,,,,41110301,销货成本退回-力顿
,,,,,,,,41110302,销货成本退回-Hofax
,,,,,,,,41110303,销货成本退回-力顿
,,,,,,,,41110304,销货成本退回-国联
,,,,,,,,41110305,销货成本退回-越南
,,,,,,,,a003,销货毛利
,,,,,,,,a004,销货毛利率(%)
,,,,,,,,41019901,销货成本-工厂成本与业务成本差额-业务协议价差额
,,,,,,,,a005,业务毛利
,,,,,,,,a045,业务毛利率(%)
,,,,,,,,a046,业务组毛利(45%*80%)
,,,,,,,,a048,行政组毛利(45%*20%)
,,,,,,,,89990904,业务行政组毛利分配(YZ01)
,,,,,,,,89990902,行政毛利分配(GMLB)
,,,,,,,,89990903,研发毛利分配(RD)
,,,,,,,,41019902,销货成本-工厂成本与业务成本差额-幕僚管理费收入
,,,,,,,,41019903,销货成本-工厂成本与业务成本差额-GMLA品牌费收入
,,,,,,,,41019904,销货成本-工厂成本与业务成本差额-生产库存差数
,,,,,,,,41019905,销货成本-工厂成本与业务成本差额-调整
,,,,,,,,a049,管理费收入分配
,,,,,,,,a050,毛利分配
,,,,,,,,5102,其他业务收入
,,,,,,,,510201,其他业务收入-樣品收入
,,,,,,,,510202,其他业务收入-其他收入
,,,,,,,,510211,其他业务收入-租赁收入
,,,,,,,,510221,其他业务收入-加工收入
,,,,,,,,510271,其他业务收入-原料（次料）收入
,,,,,,,,510281,其他业务收入-废品收入
,,,,,,,,510291,其他业务收入-杂项收入
,,,,,,,,4102,其他业务成本
,,,,,,,,410201,其他业务成本-材料物资转让成本
,,,,,,,,410202,其他业务成本-废旧物资转让成本
,,,,,,,,410211,其他业务成本-租赁成本
,,,,,,,,410221,其他业务成本-加工成本
,,,,,,,,410291,其他业务成本-杂项成本
,,,,,,,,4112,主营业务税金及附加
,,,,,,,,411201,主营业务税金及附加-地方教育费附加
,,,,,,,,411202,主营业务税金及附加-营业税
,,,,,,,,411203,主营业务税金及附加-消费税
,,,,,,,,411204,主营业务税金及附加-城市维护建设税
,,,,,,,,411205,主营业务税金及附加-教育费附加
,,,,,,,,4113,不予免抵退税额及进项税转出
,,,,,,,,411301,不予免抵退税额及进项税转出
,,,,,,,,a007,其他毛利
,,,,,,,,a008,其他毛利率(%)
,,,,,,,,5501,营业费用
,,,,,,,,550101,营业费用-薪资支出
,,,,,,,,55010101,营业费用-薪资支出-基本薪资
,,,,,,,,55010102,营业费用-薪资支出-加班费
,,,,,,,,55010103,营业费用-薪资支出-奖金
,,,,,,,,550102,营业费用-租金支出
,,,,,,,,550103,营业费用-文具用品
,,,,,,,,550104,营业费用-旅费
,,,,,,,,550105,营业费用-运费
,,,,,,,,550106,营业费用-邮电费
,,,,,,,,550107,营业费用-修缮费
,,,,,,,,550108,营业费用-广告费
,,,,,,,,550109,营业费用-水电瓦斯费
,,,,,,,,55010901,营业费用-水电瓦斯费-水费
,,,,,,,,55010902,营业费用-水电瓦斯费-电费
,,,,,,,,55010903,营业费用-水电瓦斯费-瓦斯费
,,,,,,,,550110,营业费用-保险费
,,,,,,,,550111,营业费用-交际费
,,,,,,,,550112,营业费用-捐赠
,,,,,,,,550113,营业费用-税捐
,,,,,,,,550114,营业费用-呆帐损失
,,,,,,,,550115,营业费用-折旧
,,,,,,,,550116,营业费用-各项摊提
,,,,,,,,55011601,营业费用-各项摊提-长期待摊费用摊销
,,,,,,,,55011602,营业费用-各项摊提-无形资产摊销
,,,,,,,,55011603,营业费用-各项摊提-低值易耗品摊销
,,,,,,,,550117,营业费用-伙食费
,,,,,,,,550118,营业费用-职工褔利
,,,,,,,,550119,营业费用-委托研究费
,,,,,,,,55011901,营业费用-委托研究费-样品领用\测试费
,,,,,,,,55011902,营业费用-委托研究费-试模费
,,,,,,,,550120,营业费用-佣金支出
,,,,,,,,550121,营业费用-训练费
,,,,,,,,550122,营业费用-进出口费用
,,,,,,,,55012201,营业费用-进出口费用-出口运费
,,,,,,,,55012202,营业费用-进出口费用-出口报关费
,,,,,,,,550123,营业费用-保全费
,,,,,,,,550124,营业费用-劳务费
,,,,,,,,550125,营业费用-物料费
,,,,,,,,55012501,营业费用-物料费-包装费
,,,,,,,,55012509,营业费用-物料费-其它物料费
,,,,,,,,550126,营业费用-燃料费
,,,,,,,,55012601,营业费用-燃料费-汽油
,,,,,,,,55012602,营业费用-燃料费-柴油
,,,,,,,,550127,营业费用-网络服务费用
,,,,,,,,550128,营业费用-劳动保护费
,,,,,,,,550130,营业费用-开模费
,,,,,,,,550131,营业费用-董事会费
,,,,,,,,550132,营业费用-工会经费
,,,,,,,,550133,营业费用-展览费
,,,,,,,,550134,营业费用-汽车费用
,,,,,,,,550188,营业费用-其它费用
,,,,,,,,550199,营业费用-异状费
,,,,,,,,55019901,营业费用-异状费-产成品成本差异
,,,,,,,,55019911,营业费用-异状费-产成品报废损失
,,,,,,,,55019912,营业费用-异状费-半成品报废损失
,,,,,,,,55019913,营业费用-异状费-半制品报废损失
,,,,,,,,55019914,营业费用-异状费-原材料报废损失
,,,,,,,,55019915,营业费用-异状费-委托加工报废损失
,,,,,,,,55019916,营业费用-异状费-产成品盘点盈亏
,,,,,,,,a009,业务损益
,,,,,,,,5601,管理费用
,,,,,,,,a5601,管理费用
,,,,,,,,560101,管理费用-薪资支出
,,,,,,,,56010101,管理费用-薪资支出-基本薪资
,,,,,,,,56010102,管理费用-薪资支出-加班费
,,,,,,,,56010103,管理费用-薪资支出-奖金
,,,,,,,,56010104,管理费用-薪资支出-劳务派遣
,,,,,,,,560102,管理费用-租金支出
,,,,,,,,560103,管理费用-文具用品
,,,,,,,,560104,管理费用-旅费
,,,,,,,,560105,管理费用-运费
,,,,,,,,560106,管理费用-邮电费
,,,,,,,,560107,管理费用-修缮费
,,,,,,,,560108,管理费用-广告费
,,,,,,,,560109,管理费用-水电瓦斯费
,,,,,,,,56010901,管理费用-水电瓦斯费-水费
,,,,,,,,56010902,管理费用-水电瓦斯费-电费
,,,,,,,,56010903,管理费用-水电瓦斯费-瓦斯费
,,,,,,,,560110,管理费用-保险费
,,,,,,,,56011001,管理费用-保险费-养老保险费
