会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
业务损益,a009,主营业务税金及附加,4112,-1,,,,410211,其他业务成本-租赁成本
业务损益,a009,不予免抵退税额及进项税转出,4113,-1,,,,410221,其他业务成本-加工成本
管理损益,a010,行政毛利分配(GMLB),89990902,1,,,,410291,其他业务成本-杂项成本
管理损益,a010,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,4112,主营业务税金及附加
管理损益,a010,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,411201,主营业务税金及附加-地方教育费附加
管理损益,a010,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,411202,主营业务税金及附加-营业税
管理损益,a010,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,411203,主营业务税金及附加-消费税
管理损益,a010,管理费用,5601,-1,,,,411204,主营业务税金及附加-城市维护建设税
研究发展损益,a011,研发毛利分配(RD),89990903,1,,,,411205,主营业务税金及附加-教育费附加
研究发展损益,a011,研究发展费用,5701,-1,,,,4113,不予免抵退税额及进项税转出
营业损益,a012,销货收入,5101,0.36,,,,411301,不予免抵退税额及进项税转出
营业损益,a012,销货退回,5111,0.36,,,,a007,其他毛利
营业损益,a012,销货折让,5121,0.36,,,,a008,其他毛利率(%)
营业损益,a012,销货成本,4101,-0.36,,,,5501,营业费用
营业损益,a012,销货成本退回,4111,-0.36,,,,550101,营业费用-薪资支出
营业损益,a012,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,55010101,营业费用-薪资支出-基本薪资
营业损益,a012,其他业务收入,5102,1,,,,55010102,营业费用-薪资支出-加班费
营业损益,a012,行政毛利分配(GMLB),89990902,1,,,,55010103,营业费用-薪资支出-奖金
营业损益,a012,研发毛利分配(RD),89990903,1,,,,550102,营业费用-租金支出
营业损益,a012,业务行政组毛利分配(YZ01),89990904,1,,,,550103,营业费用-文具用品
营业损益,a012,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,550104,营业费用-旅费
营业损益,a012,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,550105,营业费用-运费
营业损益,a012,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,550106,营业费用-邮电费
营业损益,a012,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,550107,营业费用-修缮费
营业损益,a012,其他业务成本,4102,-1,,,,550108,营业费用-广告费
营业损益,a012,主营业务税金及附加,4112,-1,,,,550109,营业费用-水电瓦斯费
营业损益,a012,不予免抵退税额及进项税转出,4113,-1,,,,55010901,营业费用-水电瓦斯费-水费
营业损益,a012,营业费用,5501,-1,,,,55010902,营业费用-水电瓦斯费-电费
营业损益,a012,研究发展费用,5701,-1,,,,55010903,营业费用-水电瓦斯费-瓦斯费
营业损益,a012,财务费用,5801,-1,,,,550110,营业费用-保险费
营业损益,a012,管理费用,5601,-1,,,,550111,营业费用-交际费
营业损益率,a013_fenzi,销货收入,5101,0.36,,,,550112,营业费用-捐赠
营业损益率,a013_fenzi,销货退回,5111,0.36,,,,550113,营业费用-税捐
营业损益率,a013_fenzi,销货折让,5121,0.36,,,,550114,营业费用-呆帐损失
营业损益率,a013_fenzi,销货成本,4101,-0.36,,,,550115,营业费用-折旧
营业损益率,a013_fenzi,销货成本退回,4111,-0.36,,,,550116,营业费用-各项摊提
营业损益率,a013_fenzi,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,55011601,营业费用-各项摊提-长期待摊费用摊销
营业损益率,a013_fenzi,其他业务收入,5102,1,,,,55011602,营业费用-各项摊提-无形资产摊销
营业损益率,a013_fenzi,行政毛利分配(GMLB),89990902,1,,,,55011603,营业费用-各项摊提-低值易耗品摊销
营业损益率,a013_fenzi,研发毛利分配(RD),89990903,1,,,,550117,营业费用-伙食费
营业损益率,a013_fenzi,业务行政组毛利分配(YZ01),89990904,1,,,,550118,营业费用-职工褔利
营业损益率,a013_fenzi,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,550119,营业费用-委托研究费
营业损益率,a013_fenzi,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,55011901,营业费用-委托研究费-样品领用\测试费
营业损益率,a013_fenzi,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,55011902,营业费用-委托研究费-试模费
营业损益率,a013_fenzi,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,550120,营业费用-佣金支出
营业损益率,a013_fenzi,其他业务成本,4102,-1,,,,550121,营业费用-训练费
营业损益率,a013_fenzi,主营业务税金及附加,4112,-1,,,,550122,营业费用-进出口费用
营业损益率,a013_fenzi,不予免抵退税额及进项税转出,4113,-1,,,,55012201,营业费用-进出口费用-出口运费
营业损益率,a013_fenzi,营业费用,5501,-1,,,,55012202,营业费用-进出口费用-出口报关费
营业损益率,a013_fenzi,研究发展费用,5701,-1,,,,550123,营业费用-保全费
营业损益率,a013_fenzi,财务费用,5801,-1,,,,550124,营业费用-劳务费
营业损益率,a013_fenzi,管理费用,5601,-1,,,,550125,营业费用-物料费
